Sequence Number	Deposit	Latitude	Longitude	MILSREF	MRDSREC	Orange Number
CH 147	Connector No. 3 (Fluorspar Mines)	44.8678	-114.5511	160590667	FS00592	131
CH 148	Switchback	44.8647	-114.5275	160590372	N/A	N/A
CH 149	East Fluorspar Lode (N.E. Fluorspar)	44.8622	-114.5222	9	W014464	141
CH 150	Fluorspar Property	44.8608	-114.5292	160590521	N/A	142
CH 151	Red Spar No. 2 Lode	44.8544	-114.5397	160590373	W014222	133
CH 152	Red Spar Lode (Chamac; Red Spar Mine)	44.8556	-114.5361	13	W014460	132
CH 153	Red Spar Extension Lode (Red Spar No. 3 Extension)	44.8522	-114.5408	160590668	W014461	134
CH 154	Purple Spar Extension Lode (Purple Spar Nos. 3 and 4 Extension)	44.8522	-114.5383	160590669	W014462	135
CH 155	Purple Spar Lode	44.8528	-114.5356	160590374	W014223	136
CH 156	Purple Spar No. 2 Lode	44.8492	-114.5361	160590375	W014224	137
